Year,Zone,Percentage
2004,3 Point Shot,18.5
2004,In The Paint (Non-RA),14.4
2004,Mid-Range,35.6
2004,Restricted Area,31.3
2005,3 Point Shot,19.4
2005,In The Paint (Non-RA),13.0
2005,Mid-Range,35.4
2005,Restricted Area,32.0
2006,3 Point Shot,20.0
2006,In The Paint (Non-RA),12.9
2006,Mid-Range,34.4
2006,Restricted Area,32.4
2007,3 Point Shot,21.0
2007,In The Paint (Non-RA),12.9
2007,Mid-Range,33.0
2007,Restricted Area,32.9
2008,3 Point Shot,21.9
2008,In The Paint (Non-RA),12.9
2008,Mid-Range,32.9
2008,Restricted Area,32.0
2009,3 Point Shot,22.1
2009,In The Paint (Non-RA),12.8
2009,Mid-Range,32.2
2009,Restricted Area,32.7
2010,3 Point Shot,22.0
2010,In The Paint (Non-RA),13.1
2010,Mid-Range,31.4
2010,Restricted Area,33.2
2011,3 Point Shot,21.9
2011,In The Paint (Non-RA),15.3
2011,Mid-Range,31.0
2011,Restricted Area,31.5
2012,3 Point Shot,22.4
2012,In The Paint (Non-RA),14.9
2012,Mid-Range,30.3
2012,Restricted Area,32.3
2013,3 Point Shot,24.1
2013,In The Paint (Non-RA),14.5
2013,Mid-Range,28.3
2013,Restricted Area,32.8
2014,3 Point Shot,25.7
2014,In The Paint (Non-RA),14.9
2014,Mid-Range,26.8
2014,Restricted Area,32.3
2015,3 Point Shot,26.6
2015,In The Paint (Non-RA),14.8
2015,Mid-Range,26.2
2015,Restricted Area,32.2
2016,3 Point Shot,28.2
2016,In The Paint (Non-RA),14.5
2016,Mid-Range,24.6
2016,Restricted Area,32.4
2017,3 Point Shot,31.3
2017,In The Paint (Non-RA),14.2
2017,Mid-Range,22.2
2017,Restricted Area,32.1
2018,3 Point Shot,33.4
2018,In The Paint (Non-RA),15.7
2018,Mid-Range,19.1
2018,Restricted Area,31.6
2019,3 Point Shot,35.6
2019,In The Paint (Non-RA),16.0
2019,Mid-Range,15.2
2019,Restricted Area,33.0
2020,3 Point Shot,38.1
2020,In The Paint (Non-RA),16.1
2020,Mid-Range,13.3
2020,Restricted Area,32.2
2021,3 Point Shot,39.0
2021,In The Paint (Non-RA),17.9
2021,Mid-Range,12.9
2021,Restricted Area,30.1
2022,3 Point Shot,39.6
2022,In The Paint (Non-RA),18.3
2022,Mid-Range,12.8
2022,Restricted Area,29.1
2023,3 Point Shot,38.5
2023,In The Paint (Non-RA),19.5
2023,Mid-Range,11.9
2023,Restricted Area,29.9
2024,3 Point Shot,39.3
2024,In The Paint (Non-RA),19.7
2024,Mid-Range,11.2
2024,Restricted Area,29.6
